6..3...2.4..79...5....1.3.....4....9...9..25......5....36.5..4...2.7....9......17,24,41,24,3,0,2,0,4,2,Expert,
...4.3...4.....6.29...68...2.861.7....9..7..6.......1...23.98......46.79....2....,26,54,14,0,1,3,1,3,2,Expert,
....6......2.79..8..53...2.4.78..5...8.....39..3.2..4...8..5....2.6........29..5.,25,36,18,1,0,2,0,2,0,Expert,
.......57.9..43....5..6....9.....31...4..586..6...4.....7.96.....8.3..7.1..4.....,24,32,24,1,0,3,0,1,0,Expert,
..1.......5..9.8.34..6.....9..5.6.......3...4...4.816.....69.8..1.7.45.......5.3.,25,44,20,1,0,0,0,3,2,Expert,
..389....61..2..5..52..1...........9.2.1.7.3.....3.76...7...69...13...7......8...,25,40,15,3,2,2,0,1,0,Expert,
..4.578.......2.....9....71....71..24.7.893.5.............35..739........18...4..,25,55,17,2,0,1,0,2,2,Expert,
826.95....9.8......7.3.2...........395....62....967....3..7...2...1.9.6.5...3....,26,49,23,5,1,0,0,3,2,Expert,
....2......37.1...2.5934..1..1...4..9..5..3....7..9.25........2.....814.....578.9,27,53,11,1,3,1,0,4,2,Expert,
3.....6..86..3.17.4.7......9......8..1.9....2.3......6...6.7.2.........76...8143.,25,43,12,2,0,0,0,1,0,Expert,
.524.....3.....7...4...3.....572....2.....51..8.15..47.7....1..6..3..4....8....2.,25,65,9,2,0,0,0,3,2,Expert,
.......4.....9....1..47.3.......9....2.14....47....9....1.....379....8.66..32.79.,24,69,11,1,0,2,1,2,2,Expert,
......6.1..37..5.......1.3......7.9..52.....6..1.9.2.3.9681.....28.3.7...........,24,43,12,1,1,2,0,2,0,Expert,
.8.73.9......5.2......24..3..34.6..75......9.4........3....9.65..65...3.85...2...,26,50,19,2,0,3,1,2,2,Expert,
.1.2.5.9..8...75....7.81.2.7.3......29.....4.1....8.7.....4...5...15..........91.,25,56,21,1,1,2,0,2,2,Expert,
..49.6...12..5.....9.2.8.5....1...9.......8..96............2...718..9..225....9.6,25,42,26,0,0,4,0,4,4,Expert,
6..9..35...16....7.7..3...91....2..6..3...........72..8.........9.1..76...2.5.8..,24,106,31,0,0,2,0,6,8,Expert,
1..6...799..32..85....7.31.72........8....9.......8.3.3.7...5...5.9..8...16......,26,68,8,3,0,1,1,4,6,Expert,
.........71.98.....8..72.93.....46..6......19.32..7...........4....2.....4....168,23,42,15,4,0,0,0,1,0,Expert,
......7.8....6...217.3.8...6......25......6..8.......1..9857...31.2..5...2..3.86.,26,152,33,2,0,3,0,22,36,Expert,
3........92.4.........2....4..7...8629.1..4..7.1...92....9.6.4...6.342........7..,25,38,25,0,1,1,0,2,2,Expert,
.....9.6.982......34..78.......8..72......31.2374..8......6..41..8..1...76.......,26,73,10,0,0,1,1,5,6,Expert,
.2...........4.258...6.5....3.8.....4.....3.7.9.....4...259....6....74..985..6...,24,41,15,1,1,0,0,1,0,Expert,
79...6.3....71..2..4..35..6......4.2.5.1..79....6........5....99....461.5..36..4.,28,41,10,1,1,1,0,2,0,Expert,
.......1..5....9.23924...56........9.....6.4..8..15.....51....42...8.....36..4..5,25,44,11,1,1,2,0,1,0,Expert,
.8......1...6..9..95..4.........3....92...6...1..8.3.4......16..4.2....9..359....,23,42,15,3,0,0,1,1,0,Expert,
4.......91....2..5.6.79...26.....4......51..7..2..8.....1..9.5...9.45....4.2.....,24,48,27,0,1,0,0,2,2,Expert,
61....9.5..3....4..4.....81.2.......9..468.5........6.....4......93.5....582...94,25,36,19,1,0,3,0,1,0,Expert,
...9...38.....5.2....16.5.......6...6..51...2195..84..8...5.2.9.2..49..5...3...6.,28,75,8,1,1,4,0,2,2,Expert,
...6...5..9..521..76.4......7.....292...8...11....7.4.8....1.............2.5.49..,24,51,24,3,0,1,0,3,2,Expert,